API Well Number,Well Name,Well Name Suffix,Bottom Lease Number,Bottom Area,Bottom Block,Company Name,Spud Date,BH Total MD (feet),True Vertical Depth (feet),TVD Subsea (feet),RKB,KOP,Total Depth Date,Status Date,Type Code,Status Code,Casing Cut Code,Water Depth (feet),Underwater Comp Stub,Surface Lease Number,Surface Latitude,Surface Longitude,Bottom Latitude,Bottom Longitude
608174028000, A029,ST00BP00,G03605,MC,  324,Exxon Mobil Corporation,7/11/1986,12304,10728,10577,151,,8/9/1986,8/16/1986,D,ST,N,1001,N,G03818,28.66261358,-89.15772757,28.64965868,-89.16115587
608174022000, A007,ST00BP00,G03605,MC,  324,Exxon Mobil Corporation,5/6/1984,10718,10301,10150,151,,6/7/1984,6/24/2003,D,ST,N,1001,N,G03818,28.66268961,-89.15761688,28.65642801,-89.15954928
608174015101, A059,ST01BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",4/5/2003,17976,10662,10533,129,2133,4/25/2003,5/2/2003,D,ST,N,1024,N,G02638,28.79106945,-89.05616112,28.82509365,-89.04849552
608174006102, A007,ST02BP00,G02643,MC,  151,"EnVen Energy Ventures, LLC",12/22/2002,21388,7272,7143,129,17519,12/26/2002,12/28/2002,D,ST,N,1024,N,G02638,28.79110248,-89.05615626,28.81409588,-89.00834176
608174010172, A033,ST00BP02,G02642,MC,  150,"EnVen Energy Ventures, LLC",3/20/1980,13950,8802,8694,108,12908,3/23/1980,3/23/1980,D,ST,,1024,N,G02638,28.79109741,-89.05612806,28.81680401,-89.05791136
608174012970, A032,ST00BP01,G02642,MC,  150,"EnVen Energy Ventures, LLC",8/26/1987,11635,8470,8365,105,,9/2/1987,2/28/1996,D,ST,,1024,N,G02638,28.79090901,-89.05639909,28.79588981,-89.07282309
608174011270, A031,ST01BP00,G02642,MC,  150,"EnVen Energy Ventures, LLC",6/2/1994,13083,8667,8559,108,10529,6/19/1994,6/20/1994,D,ST,,1024,N,G02638,28.79107683,-89.05621507,28.81184413,-89.06769687
608174000370,  001,ST01BP00,G02638,MC,  194,"EnVen Energy Ventures, LLC",7/23/1975,4857,4857,4773,84,3982,7/29/1975,7/30/1975,E,ST,,1023,N,G02638,28.79108986,-89.07423838,28.79108656,-89.07424518
608174010570, A018,ST01BP00,G02639,MC,  195,"EnVen Energy Ventures, LLC",11/26/1989,10037,8022,7906,116,3125,12/14/1989,1/4/1990,D,ST,,1024,N,G02638,28.79089043,-89.05635502,28.78433513,-89.04531972
608174006770, A005,ST00BP00,G02639,MC,  195,"EnVen Energy Ventures, LLC",1/10/1979,10306,9796,9688,108,,4/3/1979,4/4/1979,D,ST,,1024,N,G02638,28.79105593,-89.05614286,28.78886103,-89.05007656
