,lease,protraction_id,block_num,sale,bid_amount,company_num,precentage_bid,company,block_code
210,36648,NG15-03,425,252,0.589909,59,100.0,Hess Corporation,NG15-03 - 425
211,36648,NG15-03,425,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-03 - 425
212,36668,NG16-01,14,252,0.651988,689,100.0,Shell Offshore Inc.,NG16-01 - 14
213,36693,NG15-05,858,252,0.600213,3362,100.0,Kosmos Energy Gulf of Mexico Operations,NG15-05 - 858
214,36545,NH16-10,424,252,0.583333,3295,100.0,Fieldwood Energy LLC,NH16-10 - 424
215,36583,NH16-11,753,252,0.731988,689,100.0,Shell Offshore Inc.,NH16-11 - 753
216,36593,NH16-11,849,252,0.731988,689,100.0,Shell Offshore Inc.,NH16-11 - 849
217,36608,NG15-02,502,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 502
218,36621,NG15-02,770,252,0.731988,689,100.0,Shell Offshore Inc.,NG15-02 - 770
219,36650,NG15-03,513,252,0.970909,59,100.0,Hess Corporation,NG15-03 - 513
220,36635,NG15-03,152,252,0.600524,2481,100.0,BP Exploration & Production Inc.,NG15-03 - 152
221,36665,NG16-01,3,252,0.7005239999999999,2481,100.0,BP Exploration & Production Inc.,NG16-01 - 3
222,36663,NG15-03,995,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-03 - 995
223,36523,NH16-07,815,252,0.457505,2219,100.0,Anadarko US Offshore LLC,NH16-07 - 815
224,36701,NG15-06,675,252,0.604801,3570,85.0,Beacon Offshore Energy Exploration LLC,NG15-06 - 675
225,36701,NG15-06,675,252,0.604801,1999,15.0,Houston Energy,NG15-06 - 675
226,36577,NH16-11,617,252,0.589909,59,100.0,Hess Corporation,NH16-11 - 617
227,36577,NH16-11,617,252,1.500213,3362,100.0,Kosmos Energy Gulf of Mexico Operations,NH16-11 - 617
228,36502,LA3A,60,252,0.187654,2961,100.0,Byron Energy Inc.,LA3A - 60
229,36614,NG15-02,605,252,0.751988,689,100.0,Shell Offshore Inc.,NG15-02 - 605
230,36691,NG15-05,823,252,0.67,2058,100.0,LLOG Exploration Offshore,NG15-05 - 823
231,36563,NH16-10,870,252,0.600524,2481,100.0,BP Exploration & Production Inc.,NH16-10 - 870
232,36571,NH16-10,982,252,0.651988,689,100.0,Shell Offshore Inc.,NH16-10 - 982
233,36629,NG15-03,75,252,0.755555,3570,60.0,Beacon Offshore Energy Exploration LLC,NG15-03 - 75
234,36629,NG15-03,75,252,0.755555,1999,15.0,Houston Energy,NG15-03 - 75
235,36629,NG15-03,75,252,0.755555,2668,25.0,Red Willow Offshore,NG15-03 - 75
236,36528,NH16-07,916,252,0.601524,2481,100.0,BP Exploration & Production Inc.,NH16-07 - 916
237,36632,NG15-03,107,252,0.600524,2481,100.0,BP Exploration & Production Inc.,NG15-03 - 107
238,36543,NH16-10,346,252,0.8273209999999999,2481,50.0,BP Exploration & Production Inc.,NH16-10 - 346
239,36543,NH16-10,346,252,0.8273209999999999,2058,50.0,LLOG Exploration Offshore,NH16-10 - 346
240,36547,NH16-10,480,252,1.001988,689,100.0,Shell Offshore Inc.,NH16-10 - 480
241,36649,NG15-03,469,252,1.102909,59,100.0,Hess Corporation,NG15-03 - 469
242,36649,NG15-03,469,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-03 - 469
243,36649,NG15-03,469,252,1.307777,78,100.0,Chevron U.S.A. Inc.,NG15-03 - 469
244,36488,NG15-04,201,252,0.811988,689,100.0,Shell Offshore Inc.,NG15-04 - 201
245,36562,NH16-10,855,252,0.801988,689,100.0,Shell Offshore Inc.,NH16-10 - 855
246,36573,NH16-11,265,252,0.8002130000000001,3362,100.0,Kosmos Energy Gulf of Mexico Operations,NH16-11 - 265
247,36666,NG16-01,4,252,0.600524,2481,100.0,BP Exploration & Production Inc.,NG16-01 - 4
248,36677,NG16-01,399,252,0.609993,3026,100.0,EnVen Energy Ventures,NG16-01 - 399
249,36684,NG16-02,180,252,0.771988,689,100.0,Shell Offshore Inc.,NG16-02 - 180
250,36646,NG15-03,393,252,1.300991,59,100.0,Hess Corporation,NG15-03 - 393
251,36646,NG15-03,393,252,3.025077,3570,60.0,Beacon Offshore Energy Exploration LLC,NG15-03 - 393
252,36646,NG15-03,393,252,3.025077,1999,15.0,Houston Energy,NG15-03 - 393
253,36646,NG15-03,393,252,3.025077,2668,25.0,Red Willow Offshore,NG15-03 - 393
254,36660,NG15-03,928,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-03 - 928
255,36509,LA4A,396,252,0.13,1284,100.0,W & T Offshore,LA4A - 396
256,36551,NH16-10,684,252,10.100991,59,100.0,Hess Corporation,NH16-10 - 684
257,36551,NH16-10,684,252,1.530623,2647,100.0,Murphy Exploration & Production Company - USA,NH16-10 - 684
258,36551,NH16-10,684,252,2.000213,3362,100.0,Kosmos Energy Gulf of Mexico Operations,NH16-10 - 684
259,36585,NH16-11,759,252,0.731988,689,100.0,Shell Offshore Inc.,NH16-11 - 759
260,36510,LA5,59,252,0.13000699999999998,3583,100.0,Juneau Oil & Gas,LA5 - 59
261,36644,NG15-03,349,252,0.500909,59,100.0,Hess Corporation,NG15-03 - 349
262,36490,NG15-04,299,252,0.7019880000000001,689,100.0,Shell Offshore Inc.,NG15-04 - 299
263,36533,NH15-12,950,252,0.150909,59,100.0,Hess Corporation,NH15-12 - 950
